frame,theta,omega,tau_th,tau_em,tau_fr,tau_load,tau_net,T_core,T_ch0,T_ch1,T_ch2,T_ch3,T_ch4,T_ch5,KE,E_th,E_em,E_load
1,0.0000,0.1000,0.000,12.000,0.002,2.008,9.990,500.00,400.00,400.00,400.00,400.00,400.00,400.00,0.00,0.00,0.00,0.00
2,1.3080,83.9029,5038.217,0.000,283.266,8.712,4746.239,499.39,401.01,385.63,401.01,401.01,401.01,401.01,2815.88,3188.84,4.31,8.88
3,0.1882,154.6143,5225.012,0.000,959.315,14.369,4251.327,498.75,386.58,386.88,386.80,386.73,386.68,386.63,9562.23,13585.43,31.40,71.91
4,1.2922,194.2992,4975.758,0.000,1513.973,17.544,3444.241,498.02,372.66,358.23,373.04,372.94,372.84,372.76,15100.87,28944.48,75.42,192.99
5,3.4339,211.7229,4573.215,0.000,1797.299,18.938,2756.978,497.19,359.29,345.32,345.12,344.95,359.53,359.41,17930.64,46201.97,131.97,348.13
6,5.9912,218.9372,0.000,12.000,1921.718,19.515,-1929.233,496.26,346.44,332.91,332.69,332.49,332.30,332.12,19173.39,64103.57,191.26,518.19
7,2.3168,213.6208,4762.219,0.000,1829.627,19.090,2913.503,495.22,319.88,306.96,306.70,320.53,320.31,320.09,18253.54,80174.45,253.48,690.34
8,4.8902,216.9906,0.000,12.000,1887.737,19.359,-1895.097,494.08,308.31,295.80,295.52,295.23,294.95,308.55,18833.97,97511.54,310.35,861.05
9,1.1077,210.6044,2644.896,0.000,1778.380,18.848,847.667,492.85,283.57,271.62,284.78,284.47,284.17,283.87,17741.68,112800.37,370.87,1029.29
10,3.5563,211.4587,2880.283,0.000,1792.821,18.917,1068.546,491.53,273.16,261.59,261.23,260.87,273.81,273.49,17885.92,129011.03,432.01,1195.51
11,5.7872,209.3949,1323.881,12.000,1758.036,18.752,-440.906,490.14,263.17,251.96,251.58,251.19,250.82,250.44,17538.48,143577.47,491.54,1354.03
12,1.7763,211.3388,0.000,12.000,1790.790,18.907,-1797.697,488.66,240.70,229.99,242.31,241.90,241.51,241.11,17865.63,159005.16,553.99,1513.93
13,4.0885,208.9247,0.000,12.000,1750.160,18.714,-1756.874,487.12,231.72,221.34,220.88,220.42,232.57,232.15,17459.81,173925.12,616.73,1675.32
14,0.0880,205.8682,3139.562,0.000,1699.386,18.469,1421.706,485.50,210.67,213.04,212.56,212.08,211.62,211.15,16952.69,188587.11,679.25,1835.68
15,2.2465,192.2675,0.000,12.000,1482.517,17.381,-1487.898,483.82,202.61,192.99,192.46,204.08,203.60,203.11,14786.72,200985.58,740.66,1991.88
16,2.5670,137.3638,0.000,12.000,757.500,12.989,-758.489,482.10,194.85,197.43,196.91,196.40,195.89,195.38,7547.53,200985.58,819.91,2091.69
17,1.2248,106.9563,0.000,12.000,459.725,10.557,-458.282,480.40,199.23,189.70,201.26,200.75,200.25,199.75,4575.86,200985.58,879.20,2149.75
18,5.1782,87.6615,0.000,12.000,309.135,9.013,-306.148,478.70,203.50,194.15,193.59,193.03,192.47,204.01,3073.82,200985.58,926.64,2188.41
19,2.1942,74.3482,0.000,12.000,222.593,7.948,-218.541,477.01,195.70,198.49,197.93,197.39,196.84,196.28,2211.06,200985.58,966.23,2216.38
20,5.1989,85.0065,0.000,12.000,290.745,8.801,-287.545,475.36,199.98,202.72,202.18,201.64,201.10,200.55,2890.45,202348.00,996.48,2240.05
21,2.1232,72.4453,0.000,12.000,211.382,7.796,-207.178,473.72,192.24,194.79,194.17,205.79,205.26,192.88,2099.33,202348.00,1034.97,2266.66
22,4.8902,63.1962,0.000,12.000,161.014,7.056,-156.070,472.08,196.53,199.04,198.43,197.81,197.19,197.15,1597.50,202348.00,1068.17,2287.21
23,1.0465,56.5608,0.000,12.000,129.096,6.525,-123.621,470.47,200.72,203.18,202.58,201.98,201.36,201.33,1279.65,202369.97,1096.76,2303.74
24,3.2419,50.8844,0.000,12.000,104.587,6.071,-98.657,468.88,204.80,195.34,194.63,193.91,205.44,205.41,1035.69,202369.97,1123.10,2317.57
25,5.2289,46.3076,0.000,12.000,86.702,5.705,-80.406,467.30,208.79,199.50,198.80,198.09,197.36,209.38,857.76,202369.97,1146.95,2329.27
26,0.7766,45.7498,0.000,12.000,84.637,5.660,-78.297,465.74,200.55,203.55,202.87,202.17,201.46,201.28,837.22,202488.70,1167.29,2339.48
27,2.5730,42.0834,0.000,12.000,71.682,5.367,-65.049,464.19,204.56,195.59,194.76,206.16,205.46,205.28,708.40,202488.70,1188.85,2349.39
28,4.2322,39.0167,0.000,12.000,61.673,5.121,-54.794,462.66,208.48,199.67,198.85,198.02,197.17,209.18,608.92,202488.70,1208.76,2358.09
29,5.9146,61.1102,140.767,12.000,150.600,6.889,-4.722,461.15,212.30,203.64,202.85,202.03,201.19,200.83,1493.78,203525.28,1223.77,2367.04
30,2.7999,77.8731,0.000,12.000,244.126,8.230,-240.356,459.64,203.95,195.51,194.65,205.94,205.12,204.77,2425.69,205278.51,1254.37,2393.13
31,5.7585,67.2436,0.000,12.000,182.213,7.379,-177.592,458.14,207.81,199.51,198.67,197.80,196.91,196.47,1808.68,205278.51,1289.87,2416.22
32,2.0570,59.2425,0.000,12.000,141.572,6.739,-136.311,456.63,199.56,191.43,202.59,201.74,200.87,200.43,1403.87,205278.51,1320.85,2434.45
